Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.67          0         40
sdc               0.62         0.00         5.33          0        320
sde               0.15         0.00         2.13          0        128
sdd               0.02         0.00         0.67          0         40
sdf               0.00         0.00         0.00          0          0
sda               1.02         0.00        12.67          0        760
dm-0              1.58         0.00        12.67          0        760
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.43         0.00         3.47          0        208

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.67          0         40
sdc               0.08         0.00         0.37          0         22
sde               0.12         0.00         1.73          0        104
sdd               0.02         0.00         0.80          0         48
sdf               0.00         0.00         0.00          0          0
sda               1.05         0.00        11.47          0        688
dm-0              1.43         0.00        11.47          0        688
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.40         0.00         3.20          0        192

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.12         0.00         0.53          0         32
sdc               0.10         0.00         0.73          0         44
sde               0.17         0.00         2.80          0        168
sdd               0.02         0.00         0.67          0         40
sdf               0.00         0.00         0.00          0          0
sda               1.15         0.00        13.33          0        800
dm-0              1.67         0.00        13.33          0        800
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.50         0.00         4.00          0        240

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.67          0         40
sdc               0.42         0.00         3.33          0        200
sde               0.17         0.00         2.13          0        128
sdd               0.02         0.00         0.67          0         40
sdf               0.00         0.00         0.00          0          0
sda               1.08         0.00        14.27          0        856
dm-0              1.78         0.00        14.27          0        856
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.43         0.00         3.47          0        208

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.12         0.00         0.53          0         32
sdc               0.07         0.00         0.10          0          6
sde               0.18         0.00         2.67          0        160
sdd               0.02         0.00         0.67          0         40
sdf               0.00         0.00         0.00          0          0
sda               0.80         0.00        10.27          0        616
dm-0              1.28         0.00        10.27          0        616
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.48         0.00         3.87          0        232

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.13         0.00         0.80          0         48
sdc               0.28         0.00         2.72          0        163
sde               0.22         0.00         2.80          0        168
sdd               0.02         0.00         0.80          0         48
sdf               0.00         0.00         0.00          0          0
sda               0.88         0.00        10.00          0        600
dm-0              1.25         0.00        10.00          0        600
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.55         0.00         4.40          0        264

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.13         0.00         0.80          0         48
sdc               0.45         0.00         3.60          0        216
sde               0.08         0.00         0.67          0         40
sdd               0.03         0.00         0.80          0         48
sdf               0.10         0.00         2.00          0        120
sda               1.07         0.00        12.40          0        744
dm-0              1.55         0.00        12.40          0        744
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.53         0.00         4.27          0        256

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.67          0         40
sdc               0.07         0.00         0.10          0          6
sde               0.10         0.00         0.80          0         48
sdd               0.03         0.00         0.67          0         40
sdf               0.07         0.00         1.33          0         80
sda               0.85         0.00        10.13          0        608
dm-0              1.27         0.00        10.13          0        608
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.43         0.00         3.47          0        208

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.67          0         40
sdc               0.10         0.00         0.73          0         44
sde               0.05         0.00         0.40          0         24
sdd               0.02         0.00         0.67          0         40
sdf               0.07         0.00         1.33          0         80
sda               1.13         0.00        14.13          0        848
dm-0              1.77         0.00        14.13          0        848
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.38         0.00         3.07          0        184

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.12         0.00         0.53          0         32
sdc               0.43         0.00         3.33          0        200
sde               0.05         0.00         0.67          0         40
sdd               0.02         0.00         0.80          0         48
sdf               0.10         0.00         2.27          0        136
sda               1.12         0.00        13.07          0        784
dm-0              1.63         0.00        13.07          0        784
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.53         0.00         4.27          0        256

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.67          0         40
sdc               0.25         0.00         2.08          0        125
sde               0.12         0.00         0.93          0         56
sdd               0.02         0.00         0.67          0         40
sdf               0.07         0.00         1.33          0         80
sda               1.02         0.00        11.07          0        664
dm-0              1.38         0.00        11.07          0        664
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.45         0.00         3.60          0        216

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.67          0         40
