Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sde             208.47         0.00     17783.47          0    1067008
sdd             181.88         0.00     10907.33          0     654440
sdf             195.12         0.00     16713.07          0    1002784
sda               0.78         0.00         9.47          0        568
dm-0              1.18         0.00         9.47          0        568
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            7679.28         0.00     61406.93          0    3684416

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             214.72         0.00     15558.67          0     933520
sdc               0.45         0.00         3.95          0        237
sde             194.63         0.00     17174.00          0    1030440
sdd             176.70         0.00     10762.27          0     645736
sdf             195.95         0.00     16602.40          0     996144
sda               1.10         0.00        14.40          0        864
dm-0              1.80         0.00        14.40          0        864
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            7515.17         0.00     60097.33          0    3605840

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             234.42         0.00     17088.00          0    1025280
sdc               0.08         0.00         0.37          0         22
sde             210.78         0.00     18359.60          0    1101576
sdd             186.35         0.00     11463.33          0     687800
sdf             200.92         0.00     17458.00          0    1047480
sda               0.87         0.00         9.60          0        576
dm-0              1.20         0.00         9.60          0        576
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            8049.50         0.00     64368.93          0    3862136

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             241.83         0.00     17765.07          0    1065904
sdc               0.08         0.00         0.72          0         43
sde             218.00         0.00     19075.60          0    1144536
sdd             195.32         0.00     11876.93          0     712616
sdf             210.48         0.00     18547.33          0    1112840
sda               1.00         0.00        12.00          0        720
dm-0              1.50         0.00        12.00          0        720
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            8411.60         0.00     67264.93          0    4035896

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             251.35         0.00     18836.40          0    1130184
sdc               0.65         0.00         5.60          0        336
sde             228.05         0.00     19964.00          0    1197840
sdd             205.95         0.00     12584.13          0     755048
